step,train_loss,train_accuracy,valid_loss,valid_mean_token_accuracy
554,0.55886,0.88889,,
555,0.00349,1.0,,
556,0.01246,1.0,,
557,0.78589,0.77778,,
558,0.00699,1.0,,
559,0.00264,1.0,,
560,0.00443,1.0,,
561,0.10189,0.88889,,
562,0.00549,1.0,,
563,0.78549,0.77778,,
564,0.78729,0.77778,,
565,0.64156,0.88889,,
566,0.01147,1.0,,
567,0.01005,1.0,,
568,0.00235,1.0,,
569,0.00515,1.0,,
570,0.07071,1.0,,
571,0.02701,1.0,,
572,0.3999,0.88889,,
573,0.00257,1.0,,
574,0.09274,0.88889,,
575,0.15788,0.88889,,
576,0.44727,0.88889,,
577,0.00644,1.0,,
578,0.00314,1.0,,
579,0.07882,1.0,,
580,0.00135,1.0,,
581,0.9233,0.77778,,
582,0.00262,1.0,,
583,0.02376,1.0,,
584,0.0051,1.0,,
585,0.8974,0.77778,,
586,0.00415,1.0,,
587,0.4451,0.88889,,
588,0.00524,1.0,,
589,0.00068,1.0,,
590,0.12937,0.88889,,
591,0.42196,0.88889,,
592,0.42555,0.88889,,
593,0.03026,1.0,,
594,0.00491,1.0,,
595,0.00744,1.0,,
596,0.62245,0.88889,,
597,0.0028,1.0,,
598,0.61278,0.88889,,
599,0.00628,1.0,,
600,0.62011,0.88889,,
601,0.00445,1.0,,
602,0.54306,0.88889,,
603,0.44813,0.88889,,
604,0.0442,1.0,,
605,0.58518,0.88889,,
606,0.00112,1.0,,
607,0.00461,1.0,,
608,0.00173,1.0,,
609,0.00383,1.0,,
610,0.19191,0.88889,,
611,0.00315,1.0,,
612,0.00084,1.0,,
613,0.12896,0.88889,,
614,0.01894,1.0,,
615,0.03707,1.0,,
616,0.17012,0.88889,,
617,0.64036,0.88889,,
618,0.55775,0.88889,,
619,0.34219,0.88889,,
620,0.00393,1.0,,
621,0.0125,1.0,,
622,0.78594,0.88889,,
623,0.00262,1.0,,
624,1.0611,0.77778,,
625,0.00852,1.0,,
626,0.0017,1.0,,
627,0.00086,1.0,,
628,0.00155,1.0,,
629,0.50202,0.88889,,
630,0.00677,1.0,,
631,0.69834,0.77778,,
632,0.55944,0.88889,,
633,0.67367,0.88889,,
634,0.36957,0.88889,,
635,0.00522,1.0,,
636,0.10905,0.88889,,
637,0.01004,1.0,,
638,0.00142,1.0,,
639,0.00286,1.0,,
640,0.00659,1.0,,
641,0.00355,1.0,,
642,0.50551,0.88889,,
643,0.00243,1.0,,
644,0.34097,0.88889,,
645,0.67298,0.77778,,
646,0.89515,0.77778,,
647,0.44955,0.88889,,
648,0.00608,1.0,,
649,0.72648,0.88889,,
650,0.31671,0.88889,,
651,0.71283,0.66667,,
652,0.5039,0.88889,,
653,0.44402,0.88889,,
654,0.00229,1.0,,
655,0.45191,0.88889,,
656,0.00316,1.0,,
657,0.00391,1.0,,
658,1.05966,0.77778,,
659,0.52737,0.88889,,
660,1.04122,0.77778,,
661,0.00445,1.0,,
662,0.00728,1.0,,
663,0.05827,1.0,,
664,0.0013,1.0,,
665,0.02533,1.0,,
666,0.51915,0.88889,,
667,0.01375,1.0,,
668,0.00329,1.0,,
669,0.00203,1.0,,
670,1.39423,0.66667,,
671,0.00669,1.0,,
672,0.06563,1.0,,
673,0.00439,1.0,,
674,0.47685,0.88889,,
675,0.00735,1.0,,
676,0.53135,0.88889,,
677,0.00301,1.0,,
678,0.00497,1.0,,
679,0.51874,0.88889,,
680,0.53114,0.88889,,
681,0.45282,0.88889,,
682,0.00336,1.0,,
683,0.00276,1.0,,
684,0.10226,1.0,,
685,0.00654,1.0,,
686,0.19635,0.88889,,
687,0.47488,0.88889,,
688,0.00472,1.0,,
689,0.63862,0.77778,,
690,0.00272,1.0,,
691,0.06956,1.0,,
692,0.00378,1.0,,
693,0.42154,0.88889,,
694,0.68382,0.77778,,
695,0.40441,0.88889,,
696,0.05762,1.0,,
697,0.00634,1.0,,
698,0.00234,1.0,,
699,0.00362,1.0,,
700,0.45633,0.88889,,
701,0.04491,1.0,,
702,0.00721,1.0,,
703,0.53241,0.88889,,
704,0.16813,0.88889,,
705,0.00385,1.0,,
706,0.00856,1.0,,
707,0.00328,1.0,,
708,0.92076,0.77778,,
709,0.0072,1.0,,
710,0.00275,1.0,,
711,0.01554,1.0,,
712,0.07785,0.88889,,
713,0.00566,1.0,,
714,0.00341,1.0,,
715,0.00408,1.0,,
716,0.02705,1.0,,
717,0.06927,1.0,,
718,0.0051,1.0,,
719,0.29211,0.88889,,
720,0.00829,1.0,,
721,0.61546,0.88889,,
722,0.00398,1.0,,
723,0.00284,1.0,,
724,0.47529,0.88889,,
725,0.00238,1.0,,
726,0.0037,1.0,,
727,0.53077,0.88889,,
728,0.00649,1.0,,
729,0.09379,0.88889,,
730,0.00445,1.0,,
731,1.05876,0.77778,,
732,0.00594,1.0,,
733,0.0032,1.0,,
734,0.0039,1.0,,
735,0.00406,1.0,,
736,0.002,1.0,,
737,0.01154,1.0,,
738,0.00382,1.0,,
739,0.00067,1.0,,
740,0.50913,0.88889,,
741,0.00167,1.0,,
742,0.003,1.0,,
743,0.00274,1.0,,
744,0.00235,1.0,,
745,0.00147,1.0,,
746,0.00144,1.0,,
747,0.06499,1.0,,
748,0.53696,0.88889,,
749,0.55906,0.88889,,
750,0.62061,0.88889,,
751,0.58451,0.88889,,
752,0.00102,1.0,,
753,0.55942,0.88889,,
754,0.61316,0.88889,,
755,0.89409,0.77778,,
756,0.04459,1.0,,
757,0.53444,0.88889,,
758,0.55671,0.88889,,
759,0.00547,1.0,,
760,0.61418,0.88889,,
761,0.00533,1.0,,
762,0.5314,0.88889,,
763,0.57395,0.88889,,
764,0.50462,0.88889,,
765,0.00231,1.0,,
766,0.0103,1.0,,
767,0.50848,0.88889,,
768,0.45245,0.88889,,
769,0.00049,1.0,,
770,0.00188,1.0,,
771,0.56386,0.88889,,
772,0.41993,0.88889,,
773,0.00266,1.0,,
774,0.00095,1.0,,
775,0.0056,1.0,,
776,0.0799,1.0,,
777,0.05396,1.0,,
778,0.58835,0.88889,,
779,0.58645,0.88889,,
780,0.00306,1.0,,
781,0.21664,0.88889,,
782,0.00185,1.0,,
783,0.39356,0.88889,,
784,0.00215,1.0,,
785,0.00535,1.0,,
786,1.08217,0.66667,,
787,0.61257,0.88889,,
788,0.45115,0.88889,,
789,0.86728,0.77778,,
790,0.07907,1.0,,
791,0.14749,0.88889,,
792,0.00337,1.0,,
793,0.51183,0.88889,,
794,0.55854,0.88889,,
795,0.00944,1.0,,
796,0.53299,0.88889,,
797,0.16957,0.88889,,
798,0.41998,0.88889,,
799,0.42899,0.88889,,
800,0.50724,0.88889,,
801,0.94956,0.77778,,
802,0.44821,0.88889,,
803,0.00313,1.0,,
804,0.42223,0.88889,,
805,0.69096,0.77778,,
806,0.42234,0.88889,,
807,0.00327,1.0,,
808,0.00622,1.0,,
809,0.06549,1.0,,
810,0.00476,1.0,,
811,0.57644,0.88889,,
812,0.7299,0.88889,,
813,0.54302,0.88889,,
814,0.00182,1.0,,
815,0.43877,0.88889,,
816,0.03607,1.0,,
817,1.64485,0.66667,,
818,0.03712,1.0,,
819,0.00358,1.0,,
820,0.0113,1.0,,
821,0.39686,0.88889,,
822,0.00463,1.0,,
823,0.02729,1.0,,
824,0.026,1.0,,
825,0.00716,1.0,,
826,0.00498,1.0,,
827,0.00494,1.0,,
828,0.0033,1.0,,
829,0.68121,0.77778,,
830,0.0459,1.0,,
831,0.00522,1.0,,
832,0.37439,0.88889,,
833,0.00712,1.0,,
834,0.00898,1.0,,
835,0.5033,0.88889,,
836,0.36791,0.88889,,
837,0.48214,0.88889,,
838,0.0062,1.0,,
839,0.31533,0.88889,,
840,0.00543,1.0,,
841,0.00896,1.0,,
842,0.44877,0.88889,,
843,0.39646,0.88889,,
844,0.06222,1.0,,
845,0.00576,1.0,,
846,0.5039,0.88889,,
847,0.00386,1.0,,
848,0.05561,1.0,,
849,0.00226,1.0,,
850,0.00402,1.0,,
851,0.39722,0.88889,,
852,0.36812,0.88889,,
853,0.00674,1.0,,
854,0.64307,0.88889,,
